Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,"7,23",12 540,1734
Aleksandrów Łódzki,zgierski,łódzkie,"13,82",21 184,1533
Alwernia,chrzanowski,małopolskie,"8,88",3459,390
Andrychów,wadowicki,małopolskie,"10,33",21 239,2056
Annopol,kraśnicki,lubelskie,"7,73",2655,343
Augustów,augustowski,podlaskie,"80,90",30 809,381
Babimost,zielonogórski,lubuskie,"3,65",4038,1106
Baborów,głubczycki,opolskie,"11,86",3088,260
Baranów Sandomierski,tarnobrzeski,podkarpackie,"9,15",1508,165
Barcin,żniński,kujawsko-pomorskie,"3,70",7802,2109
Barczewo,olsztyński,warmińsko-mazurskie,"4,58",7320,1598
Bardo,ząbkowicki,dolnośląskie,"4,71",2736,581
Barlinek,myśliborski,zachodniopomorskie,"17,55",14 277,814
Bartoszyce,bartoszycki,warmińsko-mazurskie,"11,00",24 719,2247
Barwice,szczecinecki,zachodniopomorskie,"7,52",3839,511
Bełchatów,bełchatowski,łódzkie,"34,64",60 032,1733
Bełżyce,lubelski,lubelskie,"23,46",6810,290
Będzin,będziński,śląskie,"37,37",58 735,1572
Biała,prudnicki,opolskie,"14,72",2534,172
Biała Piska,piski,warmińsko-mazurskie,"3,24",4114,1270
Biała Podlaska,Biała Podlaska[1],lubelskie,"49,40",57 990,1174
Biała Rawska,rawski,łódzkie,"9,53",3272,343
Białobrzegi,białobrzeski,mazowieckie,"7,51",7191,958
Białogard,białogardzki,zachodniopomorskie,"25,73",24 794,964
Biały Bór,szczecinecki,zachodniopomorskie,"12,82",2246,175
Białystok,Białystok[1],podlaskie,"102,13",294 921,2888
Biecz,gorlicki,małopolskie,"17,71",4704,266
Bielawa,dzierżoniowski,dolnośląskie,"36,21",31 480,869
Bielsk Podlaski,bielski,podlaskie,"27,01",26 525,982
Bielsko-Biała,Bielsko-Biała[1],śląskie,"124,51",174 370,1400
Bieruń,bieruńsko-lędziński,śląskie,"40,49",19 681,486
Bierutów,oleśnicki,dolnośląskie,"8,36",5038,603
Bieżuń,żuromiński,mazowieckie,"12,07",1932,160
Biłgoraj,biłgorajski,lubelskie,"21,10",27 252,1292
Biskupiec,olsztyński,warmińsko-mazurskie,"5,00",10 669,2134
Bisztynek,bartoszycki,warmińsko-mazurskie,"2,16",2524,1169
Blachownia,częstochowski,śląskie,"36,66",9863,269
Błaszki,sieradzki,łódzkie,"1,62",2298,1419
Błażowa,rzeszowski,podkarpackie,"4,23",2182,516
Błonie,warszawski zachodni,mazowieckie,"9,09",12 602,1386
Bobolice,koszaliński,zachodniopomorskie,"4,77",4271,895
Bobowa,gorlicki,małopolskie,"7,18",2996,417
Bochnia,bocheński,małopolskie,"29,87",30 303,1014
Bodzentyn,kielecki,świętokrzyskie,"8,65",2290,265
Bogatynia,zgorzelecki,dolnośląskie,"59,88",18 566,310
Boguchwała,rzeszowski,podkarpackie,"9,11",5796,636
Boguszów-Gorce,wałbrzyski,dolnośląskie,"27,02",16 417,608
Bojanowo,rawicki,wielkopolskie,"2,34",2998,1281
Bolesławiec,bolesławiecki,dolnośląskie,"23,57",39 851,1691
Bolków,jaworski,dolnośląskie,"7,68",5409,704
Borek Wielkopolski,gostyński,wielkopolskie,"6,29",2534,403
Borne Sulinowo,szczecinecki,zachodniopomorskie,"18,15",4850,267
Braniewo,braniewski,warmińsko-mazurskie,"12,41",17 455,1407
Brańsk,bielski,podlaskie,"32,43",3876,120
Brodnica,brodnicki,kujawsko-pomorskie,"23,15",28 580,1235
Brok,ostrowski,mazowieckie,"28,06",1983,71
Brusy,chojnicki,pomorskie,"5,20",4985,959
Brwinów,pruszkowski,mazowieckie,"10,10",13 002,1287
Brzeg,brzeski,opolskie,"14,61",37 261,2550
Brzeg Dolny,wołowski,dolnośląskie,"17,20",12 657,736
Brzesko,brzeski,małopolskie,"11,83",17 193,1453
Brzeszcze,oświęcimski,małopolskie,"19,04",11 691,614
Brześć Kujawski,włocławski,kujawsko-pomorskie,"7,04",4768,677
Brzeziny,brzeziński,łódzkie,"21,58",12 587,583
Brzostek,dębicki,podkarpackie,"8,76",2697,308
Brzozów,brzozowski,podkarpackie,"11,46",7631,666
Buk,poznański,wielkopolskie,"2,96",6220,2101
Bukowno,olkuski,małopolskie,"64,59",10 488,162
Busko-Zdrój,buski,świętokrzyskie,"12,28",16 860,1373
Bychawa,lubelski,lubelskie,"6,69",5240,783
Byczyna,kluczborski,opolskie,"5,79",3722,643
Bydgoszcz,Bydgoszcz[1],kujawsko-pomorskie,"175,98",361 254,2053
Bystrzyca Kłodzka,kłodzki,dolnośląskie,"10,74",10 552,982
Bytom,Bytom[1],śląskie,"69,44",174 724,2516
Bytom Odrzański,nowosolski,lubuskie,"2,30",4479,1947
Bytów,bytowski,pomorskie,"8,72",17 002,1950
Cedynia,gryfiński,zachodniopomorskie,"1,67",1685,1009
Chełm,Chełm[1],lubelskie,"35,28",65 897,1868
